S.N,StationID,Latitude(DD),Longitude(DD),EllipsoidalHeight(m),AbsoluteGravityValue(mgal),StandardDeviation(mgal)
1,108/10_G,27.434193,85.038124,463.0,978831.364,0.002
2,107/16_G,27.385700,84.988106,560.2,978795.709,0.003
3,107/20_G,27.281548,84.991310,305.1,978850.264,0.003
4,107/21_G,27.166306,84.976547,99.9,978863.413,0.003
5,113/12_G,27.111261,84.923141,83.9,978868.602,0.004
6,113/11_G,27.061649,84.768227,59.9,978874.718,0.004
7,107/15_G,27.455528,84.958939,394.9,978841.923,0.003
8,107/13_G,27.471716,84.881386,340.1,978847.595,0.003
9,107/12_G,27.541492,84.804047,287.1,978865.198,0.003
10,101/11_G,27.607906,84.649895,211.0,978874.375,0.003
11,100/11_G,27.645304,84.494156,186.0,978879.884,0.003
12,100/10_G,27.579414,84.475410,178.0,978881.939,0.004
13,101/10_G,27.574789,84.570198,170.8,978873.779,0.004
14,106/10_G,27.500492,84.262009,157.5,978887.599,0.004
15,106/11_G,27.446028,84.315285,161.0,978879.255,0.004
16,106/12_G,27.430504,84.423622,218.2,978870.833,0.004
17,108/11_G,27.379454,85.128922,453.9,978827.400,0.003
18,108/12_G,27.359901,85.258827,290.4,978850.258,0.003
19,108/13_G,27.347696,85.354919,282.4,978853.085,0.003
20,108/14_G,27.304394,85.200310,252.9,978858.957,0.004
21,108/15_G,27.263294,85.276505,333.0,978842.042,0.004
22,108/16_G,27.160103,85.056091,120.8,978859.635,0.004
23,108/17_G,27.181808,85.173492,135.2,978856.444,0.004
24,108/18_G,27.125908,85.349289,117.6,978854.509,0.004
25,107/19_G,27.175133,84.852913,80.5,978867.681,0.004
26,114/10_G,27.032316,85.011696,75.4,978867.266,0.004
27,113/10_G,27.085201,84.668198,66.4,978877.469,0.004
28,107/18_G,27.184475,84.727638,98.2,978869.978,0.004
29,107/17_G,27.277248,84.676971,146.2,978873.274,0.004
30,107/11_G,27.357323,84.607735,224.9,978866.889,0.004
31,107/10_G,27.363754,84.517792,279.8,978859.161,0.005
32,114/11_G,27.055422,85.084457,79.2,978863.290,0.004
33,114/12_G,27.093969,85.190826,93.5,978858.604,0.005
34,113/15_G,26.958786,84.967079,57.9,978870.890,0.004
35,114/16_G,26.917372,85.060478,51.4,978868.053,0.004
36,114/17_G,26.883774,85.179733,69.3,978865.040,0.005
